Node Number	x	y	z	Deformation
56110	0.5	133.49	4.16E-16	2.41E-06
56111	0.5	132.687	4.16E-16	4.08E-06
56112	0.5	131.867	4.16E-16	5.17E-06
56113	0.5	131.031	4.16E-16	5.78E-06
56114	0.5	130.177	4.16E-16	5.89E-06
56115	0.5	129.306	4.16E-16	5.50E-06
56116	0.5	128.417	4.16E-16	4.68E-06
56117	0.5	127.51	4.16E-16	3.51E-06
56118	0.5	126.584	4.16E-16	2.00E-06
56119	0.5	125.639	4.16E-16	1.27E-07
56120	0.5	124.675	4.16E-16	-2.04E-06
56121	0.5	123.691	4.16E-16	-4.40E-06
56122	0.5	122.686	4.16E-16	-6.96E-06
56123	0.5	121.661	4.16E-16	-9.77E-06
56124	0.5	120.615	4.16E-16	-1.27E-05
56125	0.5	119.547	4.16E-16	-1.57E-05
56126	0.5	118.458	4.16E-16	-1.88E-05
56127	0.5	117.346	4.16E-16	-2.20E-05
56128	0.5	116.211	4.16E-16	-2.51E-05
56129	0.5	115.053	4.16E-16	-2.83E-05
56130	0.5	113.871	4.16E-16	-3.15E-05
56131	0.5	112.664	4.16E-16	-3.46E-05
56132	0.5	111.433	4.16E-16	-3.76E-05
56133	0.5	110.177	4.16E-16	-4.06E-05
56134	0.5	108.894	4.16E-16	-4.35E-05
56135	0.5	107.586	4.16E-16	-4.62E-05
56136	0.5	106.25	4.16E-16	-4.88E-05
56137	0.5	104.887	4.16E-16	-5.12E-05
56138	0.5	103.496	4.16E-16	-5.36E-05
56139	0.5	102.076	4.16E-16	-5.58E-05
56140	0.5	100.627	4.16E-16	-5.78E-05
56141	0.5	99.149	4.16E-16	-5.97E-05
56142	0.5	97.64	4.16E-16	-6.14E-05
56143	0.5	96.1	4.16E-16	-6.30E-05
56144	0.5	94.528	4.16E-16	-6.44E-05
56145	0.5	92.924	4.16E-16	-6.55E-05
56146	0.5	91.287	4.16E-16	-6.66E-05
56147	0.5	89.616	4.16E-16	-6.74E-05
56148	0.5	87.911	4.16E-16	-6.81E-05
56149	0.5	86.171	4.16E-16	-6.86E-05
56150	0.5	84.395	4.16E-16	-6.90E-05
56151	0.5	82.583	4.16E-16	-6.92E-05
56152	0.5	80.733	4.16E-16	-6.93E-05
56153	0.5	78.845	4.16E-16	-6.93E-05
56154	0.5	76.919	4.16E-16	-6.91E-05
56155	0.5	74.953	4.16E-16	-6.88E-05
56156	0.5	72.946	4.16E-16	-6.84E-05
56157	0.5	70.898	4.16E-16	-6.79E-05
56158	0.5	68.808	4.16E-16	-6.73E-05
56159	0.5	66.676	4.16E-16	-6.65E-05
56160	0.5	64.499	4.16E-16	-6.56E-05
56161	0.5	62.277	4.16E-16	-6.47E-05
56162	0.5	60.01	4.16E-16	-6.37E-05
56163	0.5	57.696	4.16E-16	-6.27E-05
56164	0.5	55.335	4.16E-16	-6.16E-05
56165	0.5	52.925	4.16E-16	-6.04E-05
56166	0.5	50.466	4.16E-16	-5.93E-05
56167	0.5	47.956	4.16E-16	-5.81E-05
56168	0.5	45.394	4.16E-16	-5.69E-05
56169	0.5	42.78	4.16E-16	-5.57E-05
56170	0.5	40.112	4.16E-16	-5.45E-05
56171	0.5	37.389	4.16E-16	-5.33E-05
56172	0.5	34.61	4.16E-16	-5.21E-05
56173	0.5	31.774	4.16E-16	-5.09E-05
56174	0.5	28.879	4.16E-16	-4.98E-05
56175	0.5	25.926	4.16E-16	-4.89E-05
56176	0.5	22.911	4.16E-16	-4.79E-05
56177	0.5	19.834	4.16E-16	-4.70E-05
56178	0.5	16.695	4.16E-16	-4.62E-05
56179	0.5	13.49	4.16E-16	-4.55E-05
56180	0.5	10.22	4.16E-16	-4.50E-05
56181	0.5	6.882	4.16E-16	-4.46E-05
56182	0.5	3.476	4.16E-16	-4.44E-05
56183	0	3.476	3.92E-16	-7.94E-08
56184	0	6.882	3.92E-16	-3.20E-07
56185	0	10.22	3.92E-16	-7.22E-07
56186	0	13.49	3.92E-16	-1.27E-06
56187	0	16.695	3.92E-16	-1.97E-06
56188	0	19.834	3.92E-16	-2.79E-06
56189	0	22.911	3.92E-16	-3.72E-06
56190	0	25.926	3.92E-16	-4.73E-06
56191	0	28.879	3.92E-16	-5.76E-06
56192	0	31.774	3.92E-16	-6.85E-06
56193	0	34.61	3.92E-16	-8.05E-06
56194	0	37.389	3.92E-16	-9.32E-06
56195	0	40.112	3.92E-16	-1.06E-05
56196	0	42.78	3.92E-16	-1.18E-05
56197	0	45.394	3.92E-16	-1.31E-05
56198	0	47.956	3.92E-16	-1.44E-05
56199	0	50.466	3.92E-16	-1.56E-05
56200	0	52.925	3.92E-16	-1.68E-05
56201	0	55.335	3.92E-16	-1.80E-05
56202	0	57.696	3.92E-16	-1.92E-05
56203	0	60.01	3.92E-16	-2.02E-05
56204	0	62.277	3.92E-16	-2.13E-05
56205	0	64.499	3.92E-16	-2.23E-05
56206	0	66.676	3.92E-16	-2.32E-05
56207	0	68.808	3.92E-16	-2.41E-05
56208	0	70.898	3.92E-16	-2.48E-05
56209	0	72.946	3.92E-16	-2.54E-05
56210	0	74.953	3.92E-16	-2.59E-05
56211	0	76.919	3.92E-16	-2.62E-05
56212	0	78.845	3.92E-16	-2.65E-05
56213	0	80.733	3.92E-16	-2.66E-05
56214	0	82.583	3.92E-16	-2.66E-05
56215	0	84.395	3.92E-16	-2.64E-05
56216	0	86.171	3.92E-16	-2.61E-05
56217	0	87.911	3.92E-16	-2.57E-05
56218	0	89.616	3.92E-16	-2.51E-05
56219	0	91.287	3.92E-16	-2.43E-05
56220	0	92.924	3.92E-16	-2.34E-05
56221	0	94.528	3.92E-16	-2.23E-05
56222	0	96.1	3.92E-16	-2.10E-05
56223	0	97.64	3.92E-16	-1.95E-05
56224	0	99.149	3.92E-16	-1.79E-05
56225	0	100.627	3.92E-16	-1.62E-05
56226	0	102.076	3.92E-16	-1.43E-05
56227	0	103.496	3.92E-16	-1.22E-05
56228	0	104.887	3.92E-16	-9.91E-06
56229	0	106.25	3.92E-16	-7.56E-06
56230	0	107.586	3.92E-16	-5.08E-06
56231	0	108.894	3.92E-16	-2.48E-06
56232	0	110.177	3.92E-16	2.29E-07
56233	0	111.433	3.92E-16	3.11E-06
56234	0	112.664	3.92E-16	6.01E-06
56235	0	113.871	3.92E-16	8.97E-06
56236	0	115.053	3.92E-16	1.20E-05
56237	0	116.211	3.92E-16	1.51E-05
56238	0	117.346	3.92E-16	1.81E-05
56239	0	118.458	3.92E-16	2.11E-05
56240	0	119.547	3.92E-16	2.41E-05
56241	0	120.615	3.92E-16	2.69E-05
56242	0	121.661	3.92E-16	2.97E-05
56243	0	122.686	3.92E-16	3.24E-05
56244	0	123.691	3.92E-16	3.49E-05
56245	0	124.675	3.92E-16	3.71E-05
56246	0	125.639	3.92E-16	3.91E-05
56247	0	126.584	3.92E-16	4.09E-05
56248	0	127.51	3.92E-16	4.23E-05
56249	0	128.417	3.92E-16	4.33E-05
56250	0	129.306	3.92E-16	4.40E-05
56251	0	130.177	3.92E-16	4.43E-05
56252	0	131.031	3.92E-16	4.41E-05
56253	0	131.867	3.92E-16	4.34E-05
56254	0	132.687	3.92E-16	4.22E-05
56255	0	133.49	3.92E-16	4.05E-05
56256	0	134.277	3.92E-16	3.81E-05
56257	0	135.047	3.92E-16	3.50E-05
56258	0	135.803	3.92E-16	3.14E-05
56259	0	136.543	3.92E-16	2.70E-05
56260	0	137.268	3.92E-16	2.18E-05
56261	0	137.979	3.92E-16	1.58E-05
56262	0	138.675	3.92E-16	8.88E-06
56263	0	139.358	3.92E-16	1.09E-06
56264	0	140.026	3.92E-16	-7.67E-06
56265	0	140.681	3.92E-16	-1.75E-05
56266	0	141.323	3.92E-16	-2.85E-05
56267	0	141.952	3.92E-16	-4.07E-05
56268	0	142.568	3.92E-16	-5.42E-05
56269	0	143.172	3.92E-16	-6.91E-05
56270	0	143.764	3.92E-16	-8.55E-05
56271	0	144.344	3.92E-16	-1.04E-04
56272	0	144.912	3.92E-16	-1.23E-04
56273	0	145.469	3.92E-16	-1.45E-04
56274	0	146.014	3.92E-16	-1.70E-04
56275	0	146.548	3.92E-16	-1.96E-04
56276	0	147.072	3.92E-16	-2.26E-04
56277	0	147.585	3.92E-16	-2.59E-04
56278	0	148.088	3.92E-16	-2.97E-04
56279	0	148.581	3.92E-16	-3.40E-04
56280	0	149.064	3.92E-16	-3.90E-04
56281	0	149.537	3.92E-16	-4.52E-04
56282	0	150	0	-5.35E-04
56683	-0.333	149.537	3.76E-16	-4.59E-04
56684	-0.166	149.537	3.84E-16	-4.53E-04
56685	-0.333	149.064	3.76E-16	-3.99E-04
56686	-0.166	149.064	3.84E-16	-3.92E-04
56687	-0.333	148.581	3.76E-16	-3.49E-04
56688	-0.166	148.581	3.84E-16	-3.41E-04
56689	-0.333	148.088	3.76E-16	-3.06E-04
56690	-0.166	148.088	3.84E-16	-2.98E-04
56691	-0.333	147.585	3.76E-16	-2.69E-04
56692	-0.166	147.585	3.84E-16	-2.61E-04
56693	-0.333	147.072	3.76E-16	-2.36E-04
56694	-0.166	147.072	3.84E-16	-2.28E-04
56695	-0.333	146.548	3.76E-16	-2.06E-04
56696	-0.166	146.548	3.84E-16	-1.98E-04
56697	-0.333	146.014	3.76E-16	-1.79E-04
56698	-0.166	146.014	3.84E-16	-1.71E-04
56699	-0.333	145.469	3.76E-16	-1.55E-04
56700	-0.166	145.469	3.84E-16	-1.47E-04
56701	-0.333	144.912	3.76E-16	-1.33E-04
56702	-0.166	144.912	3.84E-16	-1.25E-04
56703	-0.333	144.344	3.76E-16	-1.13E-04
56704	-0.166	144.344	3.84E-16	-1.05E-04
56705	-0.333	143.764	3.76E-16	-9.51E-05
56706	-0.166	143.764	3.84E-16	-8.69E-05
56707	-0.333	143.172	3.76E-16	-7.87E-05
56708	-0.166	143.172	3.84E-16	-7.05E-05
56709	-0.333	142.568	3.76E-16	-6.39E-05
56710	-0.166	142.568	3.84E-16	-5.56E-05
56711	-0.333	141.952	3.76E-16	-5.04E-05
56712	-0.166	141.952	3.84E-16	-4.21E-05
56713	-0.333	141.323	3.76E-16	-3.82E-05
